"filename", "language", "C++", "comment", "blank", "total"
"/home/plato/mipt_projs/veclan/src/Analyzer/analyzer.cpp", "C++", 11, 1, 5, 17
"/home/plato/mipt_projs/veclan/src/Analyzer/analyzer.h", "C++", 24, 4, 12, 40
"/home/plato/mipt_projs/veclan/src/Analyzer/lexical_analyzer.cpp", "C++", 135, 28, 66, 229
"/home/plato/mipt_projs/veclan/src/Analyzer/syntax_analyzer.cpp", "C++", 358, 400, 164, 922
"/home/plato/mipt_projs/veclan/src/InputHandler/compiler_opts_parser.cpp", "C++", 37, 13, 30, 80
"/home/plato/mipt_projs/veclan/src/InputHandler/input_handler.cpp", "C++", 46, 14, 34, 94
"/home/plato/mipt_projs/veclan/src/InputHandler/input_handler.h", "C++", 6, 10, 5, 21
"/home/plato/mipt_projs/veclan/src/Structs/hash_table.cpp", "C++", 555, 38, 212, 805
"/home/plato/mipt_projs/veclan/src/Structs/hash_table.h", "C++", 171, 3, 31, 205
"/home/plato/mipt_projs/veclan/src/Structs/list.cpp", "C++", 574, 247, 252, 1073
"/home/plato/mipt_projs/veclan/src/Structs/list.h", "C++", 170, 81, 49, 300
"/home/plato/mipt_projs/veclan/src/Structs/node.cpp", "C++", 238, 65, 114, 417
"/home/plato/mipt_projs/veclan/src/Structs/node.h", "C++", 51, 51, 27, 129
"/home/plato/mipt_projs/veclan/src/Structs/stack.cpp", "C++", 292, 31, 147, 470
"/home/plato/mipt_projs/veclan/src/Structs/stack.h", "C++", 113, 3, 36, 152
"/home/plato/mipt_projs/veclan/src/Structs/text_storage.cpp", "C++", 298, 56, 167, 521
"/home/plato/mipt_projs/veclan/src/Structs/text_storage.h", "C++", 38, 37, 18, 93
"/home/plato/mipt_projs/veclan/src/Structs/vector.cpp", "C++", 87, 17, 51, 155
"/home/plato/mipt_projs/veclan/src/Structs/vector.h", "C++", 22, 38, 17, 77
"/home/plato/mipt_projs/veclan/src/compiler_unit.cpp", "C++", 30, 16, 21, 67
"/home/plato/mipt_projs/veclan/src/compiler_unit.h", "C++", 43, 13, 22, 78
"/home/plato/mipt_projs/veclan/src/lex_generator/lex_graph.cpp", "C++", 20, -1, 8, 27
"/home/plato/mipt_projs/veclan/src/lex_generator/lex_graph.h", "C++", -4, 6, -1, 1
"/home/plato/mipt_projs/veclan/src/lex_generator/parser.cpp", "C++", 13, -1, 3, 15
"/home/plato/mipt_projs/veclan/src/lex_generator/structs/vec_set.cpp", "C++", 2, 1, 0, 3
"/home/plato/mipt_projs/veclan/src/lex_generator/structs/vector.cpp", "C++", 6, 1, 4, 11
"/home/plato/mipt_projs/veclan/src/lex_generator/structs/vector.h", "C++", 1, 0, 1, 2
"/home/plato/mipt_projs/veclan/src/logger.cpp", "C++", 223, 35, 116, 374
"/home/plato/mipt_projs/veclan/src/logger.h", "C++", 81, 19, 29, 129
"/home/plato/mipt_projs/veclan/src/main.cpp", "C++", 14, 2, 9, 25
"/home/plato/mipt_projs/veclan/src/statement_data.cpp", "C++", 30, 2, 6, 38
"/home/plato/mipt_projs/veclan/src/statement_data.h", "C++", 78, 0, 22, 100
"Total", "-", 3763, 1230, 1677, 6670