"filename", "language", "C++", "Ini", "C", "comment", "blank", "total"
"/home/plato/mipt_projs/veclan/src/lex_generator/(ab)* abe.cpp", "C++", 23, 0, 0, 0, 8, 31
"/home/plato/mipt_projs/veclan/src/lex_generator/lex_graph.cpp", "C++", 493, 0, 0, 55, 244, 792
"/home/plato/mipt_projs/veclan/src/lex_generator/lex_graph.h", "C++", 42, 0, 0, 9, 15, 66
"/home/plato/mipt_projs/veclan/src/lex_generator/logger.cpp", "C++", 223, 0, 0, 35, 116, 374
"/home/plato/mipt_projs/veclan/src/lex_generator/logger.h", "C++", 76, 0, 0, 19, 28, 123
"/home/plato/mipt_projs/veclan/src/lex_generator/main.cpp", "C++", 20, 0, 0, 6, 11, 37
"/home/plato/mipt_projs/veclan/src/lex_generator/parser.cpp", "C++", 468, 0, 0, 101, 228, 797
"/home/plato/mipt_projs/veclan/src/lex_generator/parser.h", "C++", 35, 0, 0, 1, 15, 51
"/home/plato/mipt_projs/veclan/src/lex_generator/rec_descent.cpp", "C++", 224, 0, 0, 99, 102, 425
"/home/plato/mipt_projs/veclan/src/lex_generator/rec_descent.h", "C++", 15, 0, 0, 0, 8, 23
"/home/plato/mipt_projs/veclan/src/lex_generator/spec_constants.h", "C++", 22, 0, 0, 1, 9, 32
"/home/plato/mipt_projs/veclan/src/lex_generator/structs/node.cpp", "C++", 219, 0, 0, 44, 119, 382
"/home/plato/mipt_projs/veclan/src/lex_generator/structs/node.h", "C++", 53, 0, 0, 56, 29, 138
"/home/plato/mipt_projs/veclan/src/lex_generator/structs/set.cpp", "C++", 100, 0, 0, 16, 47, 163
"/home/plato/mipt_projs/veclan/src/lex_generator/structs/set.h", "C++", 19, 0, 0, 9, 15, 43
"/home/plato/mipt_projs/veclan/src/lex_generator/structs/stack.cpp", "C++", 261, 0, 0, 86, 132, 479
"/home/plato/mipt_projs/veclan/src/lex_generator/structs/stack.h", "C++", 110, 0, 0, 3, 34, 147
"/home/plato/mipt_projs/veclan/src/lex_generator/structs/string_storage.cpp", "C++", 103, 0, 0, 21, 69, 193
"/home/plato/mipt_projs/veclan/src/lex_generator/structs/string_storage.h", "C++", 23, 0, 0, 0, 9, 32
"/home/plato/mipt_projs/veclan/src/lex_generator/structs/text_storage.cpp", "C++", 315, 0, 0, 50, 180, 545
"/home/plato/mipt_projs/veclan/src/lex_generator/structs/text_storage.h", "C++", 57, 0, 0, 46, 22, 125
"/home/plato/mipt_projs/veclan/src/lex_generator/structs/trash.c", "C", 0, 0, 31, 0, 16, 47
"/home/plato/mipt_projs/veclan/src/lex_generator/structs/vec_set.cpp", "C++", 69, 0, 0, 12, 43, 124
"/home/plato/mipt_projs/veclan/src/lex_generator/structs/vec_set.h", "C++", 21, 0, 0, 1, 6, 28
"/home/plato/mipt_projs/veclan/src/lex_generator/structs/vector.cpp", "C++", 94, 0, 0, 18, 57, 169
"/home/plato/mipt_projs/veclan/src/lex_generator/structs/vector.h", "C++", 28, 0, 0, 38, 20, 86
"/home/plato/mipt_projs/veclan/src/lex_generator/structs/ИДЕИ.ini", "Ini", 0, 5, 0, 0, 4, 9
"/home/plato/mipt_projs/veclan/src/lex_generator/structs/ПРОБЛЕМЫ.ini", "Ini", 0, 5, 0, 0, 3, 8
"Total", "-", 3113, 10, 31, 726, 1589, 5469